0.27915, 0.0486, 0.04188, 0.92637
0.20948, 0.08627, 0.07999, 0.92026
0.31839, 0.05152, 0.04598, 0.88011
0.21086, 0.11617, 0.08373, 0.88524
0.29266, 0.05254, 0.04663, 0.90417
0.24772, 0.11598, 0.11068, 0.82162
0.26212, 0.08944, 0.06637, 0.87807
0.25515, 0.07088, 0.06508, 0.90489
0.18936, 0.10735, 0.0999, 0.89939
0.20316, 0.06479, 0.05801, 0.97004
0.28672, 0.10346, 0.08485, 0.82097
0.2412, 0.09867, 0.08915, 0.86698
0.21924, 0.05476, 0.03863, 0.98337
0.18554, 0.08055, 0.07509, 0.95482
0.22166, 0.08741, 0.07207, 0.91486
0.22239, 0.11048, 0.09992, 0.86321
0.22639, 0.13414, 0.11401, 0.82146
0.23104, 0.07931, 0.07685, 0.9088
0.28929, 0.02199, 0.01772, 0.967
0.23067, 0.07943, 0.07756, 0.90834
0.21429, 0.05776, 0.04625, 0.9777
0.26682, 0.05204, 0.04515, 0.93199
0.298, 0.03018, 0.02454, 0.94328
0.27747, 0.03639, 0.03105, 0.95109
0.25376, 0.0857, 0.06896, 0.88758
0.22125, 0.12862, 0.13171, 0.81442
0.16838, 0.1049, 0.08313, 0.93959
0.1925, 0.09387, 0.08089, 0.92874
0.18637, 0.05777, 0.05405, 0.99781
0.1673, 0.09378, 0.05497, 0.97995
0.12171, 0.10625, 0.10036, 0.96768
0.15366, 0.08405, 0.07434, 0.98395
0.22077, 0.05382, 0.05073, 0.97068
0.32926, 0.03703, 0.03114, 0.89857
0.20235, 0.10456, 0.09489, 0.8942
0.19033, 0.12646, 0.12249, 0.85672
0.25652, 0.06296, 0.06117, 0.91535
0.25054, 0.13234, 0.1189, 0.79422
0.13759, 0.09407, 0.07819, 0.98615
0.21233, 0.09575, 0.08309, 0.90483
0.19722, 0.08137, 0.05926, 0.95815
0.2143, 0.08679, 0.07956, 0.91535
0.23088, 0.10808, 0.09375, 0.86329
0.24913, 0.03265, 0.02866, 0.98556
0.26803, 0.07278, 0.05676, 0.89843
0.22991, 0.10243, 0.07324, 0.89042
0.20376, 0.06648, 0.06437, 0.96139
0.26794, 0.06236, 0.05757, 0.90813
0.27267, 0.11465, 0.10446, 0.80422
0.22109, 0.14241, 0.14494, 0.78756
0.25761, 0.04447, 0.0362, 0.95772
0.24111, 0.06866, 0.05934, 0.92689
0.26383, 0.04378, 0.03587, 0.95252
0.28745, 0.08865, 0.08059, 0.83931
0.25314, 0.08572, 0.08491, 0.87223
0.25258, 0.07451, 0.07051, 0.8984
0.21535, 0.10865, 0.09741, 0.87459
0.13861, 0.1029, 0.09256, 0.96193
0.22549, 0.10455, 0.0905, 0.87546
0.19108, 0.10483, 0.09644, 0.90365
0.16845, 0.13041, 0.11597, 0.88117
0.20126, 0.05606, 0.04037, 0.99831
0.23778, 0.03971, 0.03451, 0.984
0.27816, 0.13311, 0.1122, 0.77253
0.34269, 0.03285, 0.02612, 0.89434
0.24301, 0.03583, 0.03114, 0.98602
0.24335, 0.11616, 0.10264, 0.83385
0.28071, 0.10425, 0.09208, 0.81896
0.21396, 0.04814, 0.048, 0.9859
0.25852, 0.05241, 0.04598, 0.93909
0.19805, 0.09128, 0.07901, 0.92766
0.25172, 0.11854, 0.09875, 0.82699
0.27946, 0.03624, 0.03105, 0.94925
0.27292, 0.06918, 0.06056, 0.89334
0.23798, 0.08937, 0.06932, 0.89933
0.254, 0.05928, 0.04295, 0.93977
0.21776, 0.10816, 0.09702, 0.87306
0.21826, 0.13734, 0.12977, 0.81063
0.27913, 0.13151, 0.11416, 0.7712
0.26537, 0.04928, 0.0425, 0.93885
